Tool,ID,Page,Label,F1,SpatialDist,Precision,Recall
PdfAct,258.tar_1711.03796.gz_Graf_IEEE_AHCAL_CR_black.pdf,0,title,0.0,0.0,0.36709729648721806,0.5248012515889235
PdfAct,276.tar_1711.11068.gz_untitled-2_black.pdf,0,title,0.0,0.0,0.5759529363188692,0.34032550641157217
PdfAct,266.tar_1711.06963.gz_SignPatternAgg2_black.pdf,0,title,1.0,1.0,0.7343819106974586,0.9438190193684969
PdfAct,258.tar_1711.03775.gz_GPIT__epl_black.pdf,0,title,1.0,1.0,0.8331393699806715,0.8701596246581961
PdfAct,271.tar_1711.08961.gz_main_black.pdf,0,title,0.7368421052631579,0.746268656716418,0.7727753596007491,0.9918891173748876
PdfAct,270.tar_1711.08833.gz_DeepLearning_Crime_Journal_v6_black.pdf,0,title,1.0,1.0,0.9977032181388946,0.9636242382660333
PdfAct,258.tar_1711.03557.gz_toric_black.pdf,0,title,1.0,1.0,0.8990789350556442,0.9942164281962652
PdfAct,258.tar_1711.03501.gz_NakamuraWojtkowiak_polylogdist2017_black.pdf,0,title,0.875,0.9384615384615383,0.8693869106930663,0.8783029773414759
PdfAct,265.tar_1711.06767.gz_article_black.pdf,2,title,0.9090909090909092,0.9426751592356688,0.9412045375052219,0.7689706237227696
PdfAct,256.tar_1711.02914.gz_MS_revision3_black.pdf,0,title,0.8888888888888888,0.9629629629629628,0.7075505851734574,0.9254322917368778
PdfAct,275.tar_1711.10695.gz_Smlike-final_black.pdf,0,title,0.4166666666666666,0.9265536723163842,0.8162414704821417,0.9262488517774558
PdfAct,266.tar_1711.07175.gz_journal_IEEE_TVT_Nauryzbayev_black.pdf,0,title,0.8,0.8018433179723502,0.8962847808893474,0.7522047335241173
PdfAct,277.tar_1711.11538.gz_NJP_ver4_black.pdf,0,title,1.0,0.966887417218543,0.8148110943085733,0.9376153686427096
PdfAct,257.tar_1711.03321.gz_achille2017separation_black.pdf,0,title,1.0,1.0,0.8938552577572104,0.960089784468679
PdfAct,270.tar_1711.08675.gz_mnras_template_black.pdf,0,title,0.689655172413793,0.9404761904761904,0.9772407536273253,0.7236443706361392
PdfAct,263.tar_1711.06137.gz_main_black.pdf,4,title,0.0,0.0,0.45938823336544415,0.41999362063277784
PdfAct,276.tar_1711.10846.gz_Josephson_Comb_detectorV4_journal_black.pdf,0,title,0.9333333333333332,0.9219858156028368,0.9252546779417726,0.9249037816312797
PdfAct,272.tar_1711.09417.gz_Kucera_Shu_black.pdf,0,title,1.0,1.0,0.7061994556410867,0.8982116539372231
PdfAct,276.tar_1711.11010.gz_MassPhArticle_black.pdf,0,title,1.0,1.0,0.8134351836780396,0.8728967530387326
PdfAct,273.tar_1711.10014.gz_paper_black.pdf,0,title,1.0,1.0,0.8015337686238738,0.941820430768223
PdfAct,268.tar_1711.07660.gz_interaction_gauge_FCI_black.pdf,0,title,0.0,0.75,0.13066734938954866,0.13277024509416951
PdfAct,276.tar_1711.10812.gz_Langepre_black.pdf,0,title,1.0,1.0,0.9592377867704966,0.8168122276201966
PdfAct,264.tar_1711.06272.gz_bursts_accretion_accepted_black.pdf,48,title,1.0,0.9514563106796116,0.8269929719941356,0.8256689959244403
PdfAct,256.tar_1711.02757.gz_ISCAS2018v3_black.pdf,0,title,0.0,0.0,0.27174071344798284,0.4438804557020382
PdfAct,254.tar_1711.01959.gz_Campante_DataAnalysisAsteroseismology_black.pdf,14,title,1.0,1.0,0.9643424716633864,0.801523645459253
PdfAct,268.tar_1711.07779.gz_ReactiveInstability17_black.pdf,0,title,1.0,0.9606299212598424,0.9698602292627541,0.9918482809215824
PdfAct,263.tar_1711.06163.gz_cexample_3D_black.pdf,0,title,1.0,1.0,0.8945203306909957,0.7215215254951526
PdfAct,276.tar_1711.10989.gz_dampe-cre-inter_black.pdf,0,title,1.0,1.0,0.9741032323614119,0.8066644266630758
PdfAct,266.tar_1711.07131.gz_egpaper_final_black.pdf,0,title,1.0,0.9700598802395208,0.7149574727636435,0.7819054050503111
PdfAct,253.tar_1711.01558.gz_arxiv2017wae_black.pdf,0,title,1.0,1.0,0.7858324921917168,0.8780509787358177
PdfAct,276.tar_1711.10913.gz_viscoelastic_black.pdf,4,title,1.0,1.0,0.7471828255309129,0.8944933165501102
PdfAct,259.tar_1711.04154.gz_main_aligned_black.pdf,0,title,1.0,1.0,0.9223729948176682,0.7526183038837384
PdfAct,274.tar_1711.10204.gz_nips_2016_final_black.pdf,0,title,0.0,0.0,0.35147437503528906,0.06433870534079479
PdfAct,276.tar_1711.10863.gz_Quiver_orbits_black.pdf,0,title,0.7857142857142856,0.975609756097561,0.7373040767275659,0.9985118723215223
PdfAct,252.tar_1711.01420.gz_manuscript_black.pdf,0,title,1.0,0.9504950495049505,0.8579580280979413,0.9023943419318744
PdfAct,259.tar_1711.03964.gz_IR_cosmology_1_black.pdf,0,title,1.0,0.9650349650349652,0.9805788232045396,0.964053635354603
PdfAct,257.tar_1711.03177.gz_proceedings_black.pdf,0,title,0.0,0.0,0.20317951944146037,0.45419788462253974
PdfAct,270.tar_1711.08666.gz_SSO_2017_black.pdf,0,title,1.0,1.0,0.7014392723235678,0.9320987250502296
PdfAct,267.tar_1711.07290.gz_Cosmological_dynamics_of_mimetic_gravity_6_black.pdf,0,title,1.0,1.0,0.709656193147626,0.7021821441480117
PdfAct,265.tar_1711.06601.gz_DIAZ_v3_black.pdf,22,title,1.0,1.0,0.9523168418499589,0.8010064909952153
PdfAct,265.tar_1711.06524.gz_BosiCampaninoArticle_black.pdf,8,title,1.0,1.0,0.7786621784270539,0.8027093832175295
PdfAct,253.tar_1711.01743.gz_flame-slab-arxiv-resub_black.pdf,0,title,1.0,1.0,0.9617837564204181,0.8403165347132291
PdfAct,269.tar_1711.08349.gz_main_black.pdf,0,title,1.0,1.0,0.7393539935605474,0.9765238371603893
PdfAct,264.tar_1711.06232.gz_egpaper_for_review_black.pdf,0,title,1.0,1.0,0.7880535396148688,0.7579627447713523
PdfAct,266.tar_1711.07272.gz_paper_black.pdf,0,title,0.0,0.0,0.236329662955033,0.4535257929389963
PdfAct,264.tar_1711.06302.gz_leptophobicZp_black.pdf,0,title,0.0,0.9347826086956522,0.5564945703854403,0.40505072096954553
PdfAct,274.tar_1711.10341.gz_DRC_multiplicativity_black.pdf,0,title,1.0,0.9494949494949496,0.8774297266885481,0.9948855380207307
PdfAct,270.tar_1711.08745.gz_frontiersYurielHallbergFINAL_black.pdf,0,title,0.9166666666666666,0.877005347593583,0.9827396085197222,0.9070623777573064
PdfAct,272.tar_1711.09464.gz_msc_paper_arXiv_black.pdf,0,title,1.0,1.0,0.7930675774671155,0.7867826976273706
PdfAct,276.tar_1711.11114.gz_trans_minor_black.pdf,0,title,0.7692307692307693,0.8170212765957447,0.8801469610066035,0.8843382284252178
PdfAct,262.tar_1711.05615.gz_main_black.pdf,0,title,1.0,1.0,0.9669462636240775,0.8029826195630572
PdfAct,256.tar_1711.02656.gz_NS2017_conf_proc_kargaltsev_black.pdf,0,title,1.0,1.0,0.9603712736703056,0.7003281352310432
PdfAct,272.tar_1711.09246.gz_OrtheyAmorim_QIP2017_black.pdf,0,title,1.0,0.9154929577464788,0.8499433035166547,0.8131247220472919
PdfAct,259.tar_1711.04056.gz_disorder_submission_03_black.pdf,0,title,1.0,1.0,0.9151879679411983,0.7674496177814975
PdfAct,264.tar_1711.06428.gz_new_black.pdf,0,title,1.0,0.9887640449438204,0.9708944323901898,0.772384274257407
PdfAct,262.tar_1711.05596.gz_Cochlea_Pitch_black.pdf,0,title,1.0,1.0,0.9160194218951244,0.7758065361010641
PdfAct,270.tar_1711.08811.gz_main_black.pdf,0,title,0.761904761904762,0.9784172661870504,0.7298820701260036,0.8478471325925981
PdfAct,253.tar_1711.01788.gz_journal_conv_GJ_2017_vF_long_black.pdf,0,title,0.923076923076923,0.8764044943820224,0.7955683720476155,0.8326440947177103
PdfAct,269.tar_1711.08329.gz_Manuscript_black.pdf,0,title,0.6666666666666666,0.8961038961038961,0.8499639099026604,0.7257647842146538
PdfAct,253.tar_1711.01692.gz_main_black.pdf,0,title,1.0,1.0,0.9015205799126398,0.9449481096948743
PdfAct,259.tar_1711.04352.gz_main_black.pdf,0,title,0.0,0.8372093023255814,0.21821739052427097,0.1590478090300043
PdfAct,273.tar_1711.09809.gz_Attree_Thermal_Fracturing_Accepted_black.pdf,0,title,1.0,1.0,0.7487681568483542,0.7357356799975427
PdfAct,259.tar_1711.04068.gz_AutoNews_black.pdf,0,title,1.0,1.0,0.7461811937941676,0.7872582050907986
