Tool,ID,Page,Label,Precision,Recall,F1,SpatialDist
ScienceParse,111.tar_1409.0312.gz_yuge141124QME_black.pdf,4,paragraph,0.650732096785874,0.39099775261070024,0.5366715429344248,0.4017404309752222
ScienceParse,114.tar_1409.2016.gz_EdgeDecoupling_arXiv_new_black.pdf,11,paragraph,0.49909627171982707,0.5809904475285655,0.4854617548251894,0.4408926273064025
ScienceParse,119.tar_1409.5159.gz_perm-class-survey_black.pdf,0,paragraph,0.37164725603367543,0.33639719783339156,0.46300009772442424,0.4409415319183211
ScienceParse,112.tar_1409.0632.gz_par-dual_black.pdf,15,paragraph,0.5765107512697387,0.46809717311024013,0.6625119946206736,0.41641042214756097
ScienceParse,122.tar_1409.6763.gz_thesis_paper_1_black.pdf,27,paragraph,0.3652978791321191,0.5605177969463429,0.3881084276232356,0.5669646933873307
ScienceParse,116.tar_1409.2920.gz_filling_map_black.pdf,45,paragraph,0.5693625817525336,0.31634909135609096,0.617678859144495,0.43887297978245643
ScienceParse,116.tar_1409.3097.gz_MLR_SSP_black.pdf,11,paragraph,0.3601673471854654,0.6351426632134091,0.5914224303957789,0.4637166867549042
ScienceParse,123.tar_1409.7124.gz_MOF_elastic_black.pdf,5,paragraph,0.5319816377534407,0.5594236115174683,0.3801567723221638,0.556060657928443
ScienceParse,125.tar_1409.8347.gz_lars01_v14_black.pdf,2,paragraph,0.6561545538960586,0.5335365955826841,0.36909821088710715,0.4690645435459849
ScienceParse,119.tar_1409.4955.gz_1plus1-EA-v1extended_black.pdf,34,paragraph,0.390562528888716,0.5262868777582548,0.44211573898297585,0.571937223175531
ScienceParse,125.tar_1409.8613.gz_arXiv_topos_persistence_black.pdf,6,paragraph,0.6391128009786784,0.46578598947627303,0.6214368332017756,0.4215114764189901
ScienceParse,112.tar_1409.0887.gz_DecentralizedRouting_820_black.pdf,31,paragraph,0.3942298625980463,0.37983453601764305,0.48760305266543236,0.468491664415264
ScienceParse,116.tar_1409.3264.gz_dogmat_black.pdf,10,paragraph,0.6652359676901132,0.3457312662096331,0.6764428994792824,0.5434001333536602
